Name,Year,Watched Date,Rating,Is_Rewatch,Is_Liked,Has_Review,Film_URL
Anyone But You,2023,Jan 2024 24,3.5,No,No,No,/film/anyone-but-you/
Society of the Snow,2023,Jan 2024 23,3.5,No,No,Yes,/film/society-of-the-snow/
Four Weddings and a Funeral,1994,Jan 2024 23,4.0,No,No,Yes,/film/four-weddings-and-a-funeral/
Aquaman and the Lost Kingdom,2023,Jan 2024 14,2.0,No,No,Yes,/film/aquaman-and-the-lost-kingdom/
Marriage Story,2019,Jan 2024 12,4.5,No,Yes,No,/film/marriage-story-2019/
Pretty Woman,1990,Jan 2024 04,3.0,No,No,No,/film/pretty-woman/
The Truman Show,1998,Jan 2024 03,4.0,No,No,Yes,/film/the-truman-show/
The Killing of a Sacred Deer,2017,Jan 2024 03,3.0,No,No,No,/film/the-killing-of-a-sacred-deer/
The Lord of the Rings: The Fellowship of the Ring,2001,Jan 2024 02,3.0,No,No,No,/film/the-lord-of-the-rings-the-fellowship-of-the-ring/
Leave the World Behind,2023,Dec 2023 27,3.0,No,No,Yes,/film/leave-the-world-behind-2023/
Rebel Moon – Part One: A Child of Fire,2023,Dec 2023 25,2.5,No,No,Yes,/film/rebel-moon-part-one-a-child-of-fire/
Superbad,2007,Dec 2023 24,3.5,No,No,No,/film/superbad/
Jojo Rabbit,2019,Dec 2023 17,3.5,No,No,No,/film/jojo-rabbit/
Sleeping with Other People,2015,Dec 2023 14,4.0,No,No,Yes,/film/sleeping-with-other-people/
In Time,2011,Dec 2023 11,0.5,No,No,Yes,/film/in-time/
The Silence of the Lambs,1991,Dec 2023 10,4.0,No,Yes,Yes,/film/the-silence-of-the-lambs/
The Secret Life of Pets,2016,Dec 2023 10,3.0,No,No,No,/film/the-secret-life-of-pets/
Blue Valentine,2010,Dec 2023 09,4.0,No,No,Yes,/film/blue-valentine/
Deep Water,2022,Dec 2023 09,3.0,No,No,Yes,/film/deep-water-2022/
Donnie Darko,2001,Dec 2023 09,3.5,No,No,No,/film/donnie-darko/
Pulp Fiction,1994,Dec 2023 08,3.5,No,No,No,/film/pulp-fiction/
When Harry Met Sally...,1989,Dec 2023 08,4.5,No,No,Yes,/film/when-harry-met-sally/
Babylon,2022,Dec 2023 07,3.5,No,No,Yes,/film/babylon-2022/
Bottoms,2023,Dec 2023 06,3.5,No,No,Yes,/film/bottoms/
