Title,Year,Rating,Film_ID,Slug,Poster_URL,Film_URL,Has_Review,Movie_ID
The Super Mario Bros. Movie,2023,3.0,432302,the-super-mario-bros-movie,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-super-mario-bros-movie/,No,432302
Murder Mystery 2,2023,2.5,564996,murder-mystery-2,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/murder-mystery-2/,No,564996
"Are You There God? It's Me, Margaret.",2023,3.0,483951,are-you-there-god-its-me-margaret,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/are-you-there-god-its-me-margaret/,No,483951
Air,2023,4.0,868491,air-2023,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/air-2023/,No,868491
Evil Dead Rise,2023,4.0,636761,evil-dead-rise,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/evil-dead-rise/,No,636761
Shazam! Fury of the Gods,2023,3.0,522405,shazam-fury-of-the-gods,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/shazam-fury-of-the-gods/,No,522405
Bottoms,2023,3.5,731222,bottoms,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/bottoms/,Yes,731222
Late Night with the Devil,2023,3.5,843415,late-night-with-the-devil,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/late-night-with-the-devil/,Yes,843415
Dungeons & Dragons: Honor Among Thieves,2023,3.5,424003,dungeons-dragons-honor-among-thieves,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/dungeons-dragons-honor-among-thieves/,No,424003
Scream VI,2023,3.0,839244,scream-vi,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/scream-vi/,No,839244
